frame,agents,grid_points_total,grid_points_tracked,background_pixels,median_dx_from_start,median_dy_from_start,median_speed_from_start,video_path
53,13,3298,709,727267,-0.190216064453125,-0.02685546875,0.2178962677717209,generated_videos/surface_grid_5_hard.mp4
54,14,3341,702,725731,-0.1939544677734375,-0.026468276977539062,0.2182506024837494,generated_videos/surface_grid_5_hard.mp4
55,12,3390,703,721855,-0.1942138671875,-0.0262451171875,0.2190759778022766,generated_videos/surface_grid_5_hard.mp4
56,12,3439,709,725429,-0.19139862060546875,-0.0272979736328125,0.21906250715255737,generated_videos/surface_grid_5_hard.mp4
57,10,3494,720,734945,-0.19000244140625,-0.026458740234375,0.21954351663589478,generated_videos/surface_grid_5_hard.mp4
58,12,3538,707,724407,-0.1942138671875,-0.027862548828125,0.2206667959690094,generated_videos/surface_grid_5_hard.mp4
59,14,3585,706,722669,-0.19427490234375,-0.0270538330078125,0.21901723742485046,generated_videos/surface_grid_5_hard.mp4
60,16,3630,706,724253,-0.194793701171875,-0.02685546875,0.2216048538684845,generated_videos/surface_grid_5_hard.mp4
61,14,3675,709,724175,-0.1964111328125,-0.0267333984375,0.2229279726743698,generated_videos/surface_grid_5_hard.mp4
62,15,3719,708,724109,-0.19622802734375,-0.0275421142578125,0.22178351879119873,generated_videos/surface_grid_5_hard.mp4
63,10,3775,720,738185,-0.18672943115234375,-0.025726318359375,0.21606960892677307,generated_videos/surface_grid_5_hard.mp4
64,10,3823,723,738495,-0.185546875,-0.026580810546875,0.2171640694141388,generated_videos/surface_grid_5_hard.mp4
65,7,3877,731,747671,-0.196807861328125,-0.026275634765625,0.2227708250284195,generated_videos/surface_grid_5_hard.mp4
66,8,3927,717,737327,-0.19921875,-0.027099609375,0.2291184365749359,generated_videos/surface_grid_5_hard.mp4
67,11,3976,682,701139,-0.1972198486328125,-0.031368255615234375,0.22934186458587646,generated_videos/surface_grid_5_hard.mp4
68,9,4027,685,702635,-0.1966552734375,-0.03668212890625,0.23324009776115417,generated_videos/surface_grid_5_hard.mp4
69,10,4072,682,700542,-0.19661712646484375,-0.0330352783203125,0.2275245487689972,generated_videos/surface_grid_5_hard.mp4
70,9,4120,684,702143,-0.1976318359375,-0.029394149780273438,0.22464638948440552,generated_videos/surface_grid_5_hard.mp4
71,10,4175,692,708543,-0.2002105712890625,-0.0174102783203125,0.2274782657623291,generated_videos/surface_grid_5_hard.mp4
72,5,4235,706,722129,-0.20025634765625,-0.01143646240234375,0.23101861774921417,generated_videos/surface_grid_5_hard.mp4
73,6,4281,694,711257,-0.19982051849365234,-0.0217437744140625,0.22879810631275177,generated_videos/surface_grid_5_hard.mp4
74,8,4368,728,743537,-0.1910400390625,-0.022439956665039062,0.21875855326652527,generated_videos/surface_grid_5_hard.mp4
75,8,4423,732,746749,-0.19305419921875,-0.027872085571289062,0.22159557044506073,generated_videos/surface_grid_5_hard.mp4
76,10,4470,727,742673,-0.191162109375,-0.03116130828857422,0.22478167712688446,generated_videos/surface_grid_5_hard.mp4
77,8,4522,724,744215,-0.19229888916015625,-0.029033184051513672,0.22176381945610046,generated_videos/surface_grid_5_hard.mp4
78,9,4573,711,729277,-0.2005615234375,-0.01776123046875,0.2272566854953766,generated_videos/surface_grid_5_hard.mp4
79,8,4624,716,734491,-0.20223617553710938,-0.015166282653808594,0.22993695735931396,generated_videos/surface_grid_5_hard.mp4
80,9,4677,717,733537,-0.205322265625,-0.0149383544921875,0.2337103933095932,generated_videos/surface_grid_5_hard.mp4
81,10,4722,713,726693,-0.20367431640625,-0.019775390625,0.23172785341739655,generated_videos/surface_grid_5_hard.mp4
