frame,agents,grid_points_total,grid_points_tracked,background_pixels,median_dx_from_start,median_dy_from_start,median_speed_from_start,video_path
71,0,9619,229,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
72,0,9769,225,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
73,0,9920,224,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
74,0,10078,230,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
75,0,10232,229,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
76,0,10382,223,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
77,0,10535,224,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
78,0,10694,229,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
79,0,10848,229,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
80,0,11008,235,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
81,0,11166,235,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
82,0,11322,234,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
83,0,11476,234,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
84,0,11624,233,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
85,0,11772,234,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
86,0,11920,237,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
87,0,12062,237,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
88,0,12210,241,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
89,0,12349,236,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
90,0,12495,240,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
91,0,12635,239,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
92,0,12778,245,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
93,0,12929,250,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
94,0,13072,248,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
95,0,13218,246,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
96,0,13368,252,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
97,0,13511,250,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
98,0,13660,258,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
99,0,13811,264,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
100,0,13956,258,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
101,0,14106,266,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
102,0,14247,260,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
103,0,14391,263,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
104,0,14534,261,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
105,0,14675,263,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
106,0,14810,252,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
107,0,14955,256,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
108,0,15092,253,240000,0.0,0.0,0.0,generated_videos/surface_grid_2_car.mp4
