frame,agents,grid_points_total,grid_points_tracked,background_pixels,median_dx_from_start,median_dy_from_start,median_speed_from_start,video_path
52,7,560,459,423024,-0.028594970703125,-0.019622802734375,0.185111865401268,generated_videos/surface_grid_3_traffic.mp4
53,8,563,460,422050,-0.02915191650390625,-0.0196990966796875,0.19029955565929413,generated_videos/surface_grid_3_traffic.mp4
54,8,568,462,420618,-0.0301513671875,-0.01876068115234375,0.18792763352394104,generated_videos/surface_grid_3_traffic.mp4
55,9,572,464,420790,-0.026885986328125,-0.01943206787109375,0.19563516974449158,generated_videos/surface_grid_3_traffic.mp4
56,10,572,464,420716,-0.03170013427734375,-0.020556926727294922,0.19751900434494019,generated_videos/surface_grid_3_traffic.mp4
57,9,574,464,420749,-0.028644561767578125,-0.02838134765625,0.2029038369655609,generated_videos/surface_grid_3_traffic.mp4
58,10,575,464,420804,-0.0261077880859375,-0.0272369384765625,0.2074306309223175,generated_videos/surface_grid_3_traffic.mp4
59,10,576,464,420584,-0.0299530029296875,-0.0293731689453125,0.19674500823020935,generated_videos/surface_grid_3_traffic.mp4
60,11,578,465,420735,-0.036285400390625,-0.02716064453125,0.19848474860191345,generated_videos/surface_grid_3_traffic.mp4
61,10,583,468,420156,-0.0325164794921875,-0.0302734375,0.2004622370004654,generated_videos/surface_grid_3_traffic.mp4
62,10,585,469,422224,-0.03216552734375,-0.027099609375,0.2139519304037094,generated_videos/surface_grid_3_traffic.mp4
63,10,586,470,422264,-0.0329132080078125,-0.0269012451171875,0.2074032723903656,generated_videos/surface_grid_3_traffic.mp4
64,7,592,474,424816,-0.03696441650390625,-0.02378082275390625,0.20381635427474976,generated_videos/surface_grid_3_traffic.mp4
65,8,593,472,422260,-0.042388916015625,-0.02813434600830078,0.21220073103904724,generated_videos/surface_grid_3_traffic.mp4
66,9,594,468,421118,-0.0412750244140625,-0.027679443359375,0.21772333979606628,generated_videos/surface_grid_3_traffic.mp4
67,9,594,465,421391,-0.03594970703125,-0.0279541015625,0.213394895195961,generated_videos/surface_grid_3_traffic.mp4
68,8,598,465,422136,-0.0434417724609375,-0.02862548828125,0.20736071467399597,generated_videos/surface_grid_3_traffic.mp4
69,8,598,465,421940,-0.0476226806640625,-0.030242919921875,0.21711139380931854,generated_videos/surface_grid_3_traffic.mp4
70,8,600,459,421948,-0.04681396484375,-0.0279541015625,0.2147582471370697,generated_videos/surface_grid_3_traffic.mp4
71,8,600,459,422324,-0.04296875,-0.02738189697265625,0.21978545188903809,generated_videos/surface_grid_3_traffic.mp4
72,8,606,464,422609,-0.04266357421875,-0.025665283203125,0.21653062105178833,generated_videos/surface_grid_3_traffic.mp4
73,8,607,465,422653,-0.038158416748046875,-0.025146484375,0.2281768023967743,generated_videos/surface_grid_3_traffic.mp4
74,8,608,466,422578,-0.054859161376953125,-0.0229034423828125,0.22339355945587158,generated_videos/surface_grid_3_traffic.mp4
75,8,612,467,422206,-0.035400390625,-0.02606201171875,0.22465935349464417,generated_videos/surface_grid_3_traffic.mp4
76,8,613,467,422482,-0.03743553161621094,-0.024261474609375,0.2390166074037552,generated_videos/surface_grid_3_traffic.mp4
77,8,617,469,424480,-0.03606414794921875,-0.02587890625,0.24811939895153046,generated_videos/surface_grid_3_traffic.mp4
78,8,618,469,424595,-0.03075408935546875,-0.0246124267578125,0.2461629956960678,generated_videos/surface_grid_3_traffic.mp4
79,8,618,468,424781,-0.035247802734375,-0.02284526824951172,0.24769499897956848,generated_videos/surface_grid_3_traffic.mp4
80,8,618,467,425068,-0.033966064453125,-0.0241851806640625,0.24225181341171265,generated_videos/surface_grid_3_traffic.mp4
81,8,618,466,425371,-0.03527069091796875,-0.023461341857910156,0.25109586119651794,generated_videos/surface_grid_3_traffic.mp4
82,8,618,466,425386,-0.0346221923828125,-0.02354907989501953,0.2438364177942276,generated_videos/surface_grid_3_traffic.mp4
